Dataset,time
hardware, 7438605
hardware, 7831214
hardware, 7870737
hardware, 8093892
hardware, 8537228
hardware, 9044854
hardware, 9228474
hardware, 9237746
hardware, 9292019
hardware, 9301156
hardware, 9326103
hardware, 9468279
hardware, 11548150
hardware, 11578039
hardware, 11903440
hardware, 12338717
hardware, 12926400
hardware, 12926401
hardware, 13062506
hardware, 13149879
hardware, 13157739
hardware, 13207237
hardware, 13237857
hardware, 13486289
hardware, 1563395
hardware, 6099472
hardware, 1210331
hardware, 406417
hardware, 2905530
hardware, 4042738
hardware, 6019372
hardware, 463492
hardware, 526706
hardware, 1421012
hardware, 1472903
hardware, 1603356
hardware, 1834031
hardware, 91800
hardware, 240056
hardware, 312652
hardware, 757887
hardware, 1816905
hardware, 3191414
hardware, 4082400
hardware, 4119000
hardware, 4761044
hardware, 6325199
hardware, 7056030
hardware, 10138255
hardware, 10174265
hardware, 2236076
hardware, 4415524
hardware, 768944
hardware, 5527797
hardware, 1889712
hardware, 434615
hardware, 1762478
hardware, 13198392
hardware, 19
hardware, 2187008
hardware, 3493947
hardware, 3911563
hardware, 4133243
hardware, 4158444
hardware, 4761437
hardware, 5552970
hardware, 6068615
hardware, 6981818
hardware, 8263677
hardware, 8274464
hardware, 9601655
hardware, 10828543
hardware, 11944053
hardware, 286
hardware, 360
hardware, 930495
hardware, 3200347
hardware, 3225548
hardware, 3598185
hardware, 3797906
hardware, 3835227
hardware, 3992255
hardware, 5110055
hardware, 5525881
hardware, 6807521
hardware, 8778180
hardware, 9026264
hardware, 9285465
hardware, 10854060
hardware, 11361628
hardware, 15211893
hardware, 294549
hardware, 602
hardware, 1017
hardware, 15787
hardware, 16858
hardware, 18599
hardware, 18603
hardware, 3040526
hardware, 3040742
hardware, 3041737
hardware, 3041834
hardware, 6062154
hardware, 6063153
hardware, 6483264
hardware, 8481622
hardware, 8484368
hardware, 9074581
hardware, 10706589
hardware, 10814334
hardware, 10817208
hardware, 10901497
hardware, 11575670
hardware, 11998834
hardware, 13997441
hardware, 14257275
hardware, 14417490
hardware, 14862068
hardware, 15207041
hardware, 15470457
hardware, 9212761
hardware, 517696
hardware, 1381102
hardware, 1468515
hardware, 1643295
hardware, 1825837
hardware, 412
hardware, 488
hardware, 18023
hardware, 282413
hardware, 618733
hardware, 625346
hardware, 1165041
hardware, 1216108
hardware, 1278459
hardware, 1703263
hardware, 1774018
hardware, 1808001
hardware, 1808213
hardware, 1912512
hardware, 2005788
hardware, 2395379
hardware, 2466113
hardware, 2549133
hardware, 3596455
hardware, 4054948
hardware, 4965970
hardware, 5075437
hardware, 5137098
hardware, 5341533
hardware, 5341579
hardware, 5616252
hardware, 5630148
hardware, 6008547
hardware, 6133864
hardware, 6148909
hardware, 6683519
hardware, 8593723
hardware, 8648319
hardware, 9328387
hardware, 9414528
hardware, 9529985
hardware, 10222759
hardware, 10374496
hardware, 10538484
hardware, 11082065
hardware, 11155908
hardware, 11313043
hardware, 13398392
hardware, 14834485
hardware, 15055208
hardware, 15245748
hardware, 15574663
hardware, 15858446
hardware, 15948094
hardware, 16277709
hardware, 16545231
hardware, 16671114
hardware, 16811466
hardware, 16811474
hardware, 16811483
hardware, 16811496
hardware, 16852092
hardware, 16862020
hardware, 16873744
hardware, 16873772
hardware, 16888631
hardware, 16929010
hardware, 16939349
hardware, 16962834
hardware, 16962847
hardware, 17039591
hardware, 17039598
hardware, 17046542
hardware, 184398
hardware, 188268
hardware, 7961750
hardware, 395010
hardware, 927450
hardware, 1382130
hardware, 3666442
hardware, 3764841
hardware, 4678051
hardware, 5959918
hardware, 5970689
hardware, 7297886
hardware, 8921507
hardware, 9273378
hardware, 9640279
hardware, 102053
hardware, 61919
hardware, 322477
hardware, 2889069
