test,time_window,time_leap,pattern,frequency,length,size
devices, 180000, 180000, 0112, 1220, 2, 3
devices, 180000, 180000, 011223, 199, 3, 4
devices, 180000, 180000, 01122331, 88, 4, 4
devices, 180000, 180000, 0112233112, 69, 5, 4
devices, 180000, 180000, 011221, 69, 3, 3
devices, 180000, 180000, 0110, 46, 2, 2
devices, 180000, 180000, 01122113, 33, 4, 4
devices, 180000, 180000, 011001, 32, 3, 2
devices, 180000, 180000, 011002, 13, 3, 3
devices, 180000, 180000, 01100110, 11, 4, 2
devices, 180000, 180000, 01122334, 8, 4, 5
devices, 180000, 180000, 011220, 7, 3, 3
devices, 180000, 180000, 01122112, 6, 4, 3
devices, 180000, 180000, 01122001, 5, 4, 3
devices, 180000, 180000, 0110022110, 3, 5, 3
devices, 180000, 180000, 01100221, 3, 4, 3
devices, 180000, 180000, 011223311223, 2, 6, 4
devices, 180000, 180000, 0112211334, 2, 5, 5
devices, 180000, 180000, 0112211223, 2, 5, 4
devices, 180000, 180000, 01100223, 2, 4, 4
devices, 180000, 180000, 01122110, 1, 4, 3
devices, 180000, 180000, 0112200112, 1, 5, 3
devices, 180000, 180000, 011002211002, 1, 6, 3
devices, 180000, 180000, 01100112, 1, 4, 3
devices, 180000, 180000, 0110011002, 1, 5, 3
devices, 240000, 60000, 01, 3191, 1, 2
devices, 240000, 60000, 0112, 735, 2, 3
devices, 240000, 60000, 011223, 86, 3, 4
devices, 240000, 60000, 0112233112, 38, 5, 4
devices, 240000, 60000, 01122331, 38, 4, 4
devices, 240000, 60000, 0110, 20, 2, 2
devices, 240000, 60000, 011221, 6, 3, 3
devices, 240000, 60000, 01122113, 4, 4, 4
devices, 240000, 60000, 011002, 4, 3, 3
devices, 240000, 60000, 011001, 4, 3, 2
devices, 240000, 60000, 011220, 2, 3, 3
devices, 240000, 60000, 01122001, 1, 4, 3
devices, 240000, 60000, 0110022110, 1, 5, 3
devices, 240000, 60000, 01100221, 1, 4, 3
devices, 240000, 120000, 01, 3191, 1, 2
devices, 240000, 120000, 0112, 1047, 2, 3
devices, 240000, 120000, 011223, 244, 3, 4
devices, 240000, 120000, 0112233112, 147, 5, 4
devices, 240000, 120000, 01122331, 88, 4, 4
devices, 240000, 120000, 01122113, 60, 4, 4
devices, 240000, 120000, 011221, 41, 3, 3
devices, 240000, 120000, 0110, 36, 2, 2
devices, 240000, 120000, 011001, 29, 3, 2
devices, 240000, 120000, 01100110, 19, 4, 2
devices, 240000, 120000, 011002, 15, 3, 3
devices, 240000, 120000, 01122112, 11, 4, 3
devices, 240000, 120000, 01122334, 9, 4, 5
devices, 240000, 120000, 011220, 9, 3, 3
devices, 240000, 120000, 011223311223, 6, 6, 4
devices, 240000, 120000, 01122001, 6, 4, 3
devices, 240000, 120000, 0110022110, 5, 5, 3
devices, 240000, 120000, 0110011001, 5, 5, 2
devices, 240000, 120000, 0112211223, 4, 5, 4
devices, 240000, 120000, 01100112, 4, 4, 3
devices, 240000, 120000, 0112211334, 3, 5, 5
devices, 240000, 120000, 0112200112, 3, 5, 3
devices, 240000, 120000, 011002211002, 3, 6, 3
devices, 240000, 120000, 01100221, 3, 4, 3
devices, 240000, 120000, 01122110, 2, 4, 3
devices, 240000, 120000, 01100223, 2, 4, 4
devices, 240000, 120000, 0110011002, 2, 5, 3
devices, 240000, 180000, 01, 3191, 1, 2
devices, 240000, 180000, 0112, 1220, 2, 3
devices, 240000, 180000, 011223, 296, 3, 4
devices, 240000, 180000, 0112233112, 161, 5, 4
devices, 240000, 180000, 01122331, 88, 4, 4
devices, 240000, 180000, 01122113, 87, 4, 4
devices, 240000, 180000, 011221, 69, 3, 3
devices, 240000, 180000, 0110, 46, 2, 2
devices, 240000, 180000, 011001, 43, 3, 2
devices, 240000, 180000, 011002, 23, 3, 3
devices, 240000, 180000, 01100110, 23, 4, 2
devices, 240000, 180000, 01122112, 15, 4, 3
devices, 240000, 180000, 011220, 11, 3, 3
devices, 240000, 180000, 01122334, 9, 4, 5
devices, 240000, 180000, 01100112, 9, 4, 3
devices, 240000, 180000, 01122001, 7, 4, 3
devices, 240000, 180000, 011223311223, 6, 6, 4
devices, 240000, 180000, 0112211223, 6, 5, 4
devices, 240000, 180000, 0110011001, 6, 5, 2
devices, 240000, 180000, 0110022110, 5, 5, 3
devices, 240000, 180000, 0112211334, 3, 5, 5
devices, 240000, 180000, 01122110, 3, 4, 3
devices, 240000, 180000, 0112200112, 3, 5, 3
devices, 240000, 180000, 011002211002, 3, 6, 3
devices, 240000, 180000, 01100221, 3, 4, 3
devices, 240000, 180000, 0110011002, 3, 5, 3
devices, 240000, 180000, 01100223, 2, 4, 4
devices, 240000, 240000, 01, 3191, 1, 2
devices, 240000, 240000, 0112, 1323, 2, 3
devices, 240000, 240000, 011223, 313, 3, 4
devices, 240000, 240000, 0112233112, 175, 5, 4
devices, 240000, 240000, 01122331, 103, 4, 4
devices, 240000, 240000, 01122113, 87, 4, 4
devices, 240000, 240000, 011221, 69, 3, 3
devices, 240000, 240000, 0110, 52, 2, 2
devices, 240000, 240000, 011001, 44, 3, 2
devices, 240000, 240000, 011002, 26, 3, 3
devices, 240000, 240000, 01100110, 23, 4, 2
devices, 240000, 240000, 01122112, 15, 4, 3
devices, 240000, 240000, 011220, 13, 3, 3
devices, 240000, 240000, 01122334, 9, 4, 5
devices, 240000, 240000, 01100112, 9, 4, 3
devices, 240000, 240000, 01122001, 8, 4, 3
devices, 240000, 240000, 011223311223, 6, 6, 4
devices, 240000, 240000, 0112211223, 6, 5, 4
devices, 240000, 240000, 0110011001, 6, 5, 2
devices, 240000, 240000, 0110022110, 5, 5, 3
