Test, Nodes, Edges, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11
datamining, 7453, 10748, 1, 1, 10, 15, 2400000, 51301, 5238, 2792, 1226, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 2700000, 48227, 5238, 3648, 1579, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 3000000, 59086, 5238, 4126, 2215, 4, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 3300000, 60078, 5238, 5073, 2501, 7, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 3600000, 59553, 5238, 5112, 2546, 9, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 1000, 23406, 5235, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 5000, 23355, 5235, 159, 9, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 10000, 23957, 5235, 229, 9, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 30000, 23526, 5235, 314, 29, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 60000, 24618, 5235, 500, 48, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 120000, 28142, 5235, 817, 250, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 300000, 35267, 5238, 1229, 556, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 600000, 37803, 5238, 1683, 632, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 900000, 35554, 5238, 1980, 683, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 1200000, 38675, 5238, 2040, 691, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 1500000, 37750, 5238, 2337, 1091, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 1800000, 46654, 5238, 2493, 1200, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 2100000, 44676, 5238, 2625, 1316, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 2400000, 45441, 5238, 2792, 1340, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 2700000, 51400, 5238, 3648, 2184, 309, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 3000000, 54626, 5238, 4128, 3074, 310, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 3300000, 50481, 5238, 5073, 3351, 330, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 3600000, 47260, 5238, 5112, 3363, 330, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1000, 3343, 3195, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 5000, 3733, 3197, 169, 6, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 10000, 3638, 3200, 191, 8, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 30000, 4244, 3207, 355, 25, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 60000, 4058, 3212, 743, 92, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 120000, 5355, 3245, 1111, 299, 2, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 300000, 8494, 3377, 1738, 1033, 12, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 600000, 14388, 3653, 2762, 2072, 222, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 900000, 21370, 4285, 3241, 2145, 418, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1200000, 55674, 6566, 8386, 5177, 1629, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1500000, 141701, 9799, 13520, 8354, 1629, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1800000, 231863, 12545, 19553, 13093, 2574, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 2100000, 277171, 15436, 20947, 14045, 3519, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 2400000, 210175, 16262, 21387, 14060, 3519, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 2700000, 216981, 17088, 22240, 14111, 3519, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 3000000, 218278, 17088, 22268, 14111, 3519, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 3300000, 228226, 17094, 22321, 14115, 3519, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 3600000, 229080, 17222, 22398, 14116, 3525, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1000, 3420, 3195, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 5000, 3474, 3197, 169, 6, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 10000, 3497, 3200, 191, 11, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 30000, 3903, 3207, 355, 25, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 60000, 4381, 3215, 750, 166, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 120000, 6650, 3311, 1266, 636, 30, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 300000, 14199, 3575, 2611, 2036, 382, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 600000, 52225, 6280, 7455, 5339, 1199, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 900000, 224407, 13470, 17829, 11955, 2927, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1200000, 309884, 16239, 20495, 13067, 3198, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1500000, 266619, 17050, 22035, 14068, 3511, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1800000, 221206, 17076, 22142, 14108, 3525, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 2100000, 224261, 17088, 22186, 14108, 3525, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 2400000, 232073, 17088, 22213, 14115, 3527, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 2700000, 233112, 17088, 22240, 14115, 3527, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 3000000, 223614, 17088, 22268, 14115, 3527, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 3300000, 256929, 19377, 23659, 14119, 3527, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 3600000, 310354, 24260, 26580, 14123, 3527, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 1000, 34208, 6767, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 5000, 28236, 6768, 280, 3, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 10000, 33136, 6768, 321, 3, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 30000, 34477, 6769, 545, 13, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 60000, 36137, 6769, 664, 26, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 120000, 40864, 6778, 1276, 166, 9, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 300000, 52832, 6789, 2549, 695, 120, 4, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 600000, 64685, 6794, 4225, 1450, 504, 38, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 900000, 92932, 6802, 6555, 2880, 1453, 208, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 1200000, 104535, 6810, 8217, 4484, 3277, 756, 54, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 1500000, 121733, 6810, 10113, 6175, 4863, 1176, 90, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 1800000, 133767, 6810, 11312, 7658, 7528, 2097, 198, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 2100000, 146957, 6811, 12860, 8994, 9209, 2577, 246, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 2400000, 151801, 6811, 14197, 10542, 11832, 3403, 330, 0, 0, 0, 0, 0
