Test, Nodes, Edges, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16
smarthomes, 6525, 8282, 1, 0, 10, 15, 600000, 31625, 4089, 2214, 1534, 1152, 1065, 542, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 900000, 41264, 4089, 2665, 2381, 2229, 1744, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1200000, 46105, 4089, 3275, 2416, 2229, 1744, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1500000, 71296, 4089, 3936, 2770, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1800000, 60610, 4089, 4502, 3022, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 2100000, 64424, 4089, 4537, 3035, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 2400000, 80742, 4089, 4570, 3035, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 2700000, 83705, 4089, 4628, 3035, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 3000000, 73404, 4089, 5357, 3036, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 3300000, 66964, 4089, 5723, 3261, 2520, 1949, 921, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 3600000, 78986, 4089, 5762, 3276, 2520, 1949, 921, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 1000, 25089, 5233, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 5000, 31635, 5233, 152, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 10000, 30621, 5233, 222, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 30000, 24590, 5233, 307, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 60000, 23411, 5233, 490, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 120000, 33869, 5233, 805, 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 300000, 40199, 5233, 1195, 593, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 600000, 53573, 5233, 1573, 745, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 900000, 57956, 5233, 1819, 847, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 1200000, 55864, 5233, 1879, 855, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 1500000, 50503, 5233, 2176, 971, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 1800000, 47947, 5233, 2319, 1301, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 2100000, 52251, 5233, 2441, 1381, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 2400000, 54698, 5233, 2584, 1437, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 2700000, 44247, 5233, 3432, 1798, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 3000000, 59050, 5233, 3907, 2437, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 3300000, 50287, 5233, 4620, 2948, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 3600000, 43920, 5233, 4659, 2993, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 1000, 20077, 5233, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 5000, 18942, 5233, 152, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 10000, 19158, 5233, 222, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 30000, 19375, 5233, 307, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 60000, 19959, 5233, 490, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 120000, 28570, 5233, 805, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 300000, 39582, 5233, 1195, 593, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 600000, 43268, 5233, 1573, 745, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 900000, 41223, 5233, 1819, 847, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 1200000, 43840, 5233, 1879, 855, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 1500000, 53624, 5233, 2176, 1255, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 1800000, 65309, 5233, 2319, 1377, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 2100000, 64933, 5233, 2441, 1503, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 2400000, 56684, 5233, 2584, 1551, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 2700000, 62327, 5233, 3432, 2358, 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 3000000, 81172, 5233, 3907, 3250, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 3300000, 73784, 5233, 4620, 3743, 384, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 3600000, 59638, 5233, 4659, 3755, 384, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1000, 3414, 3191, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 5000, 3450, 3191, 175, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 10000, 3482, 3191, 200, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 30000, 3710, 3191, 368, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 60000, 4149, 3191, 755, 89, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 120000, 5375, 3191, 1083, 229, 100, 51, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 300000, 8210, 3191, 1473, 655, 454, 369, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 600000, 14199, 3191, 1606, 814, 837, 938, 639, 432, 216, 36, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 900000, 19428, 3191, 1722, 948, 1098, 1237, 912, 639, 270, 72, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1200000, 48073, 3191, 1844, 1223, 1874, 2934, 3234, 3264, 2412, 1242, 486, 54, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1500000, 82136, 3191, 2011, 1438, 2425, 4305, 5022, 5820, 4500, 2916, 1296, 378, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1800000, 120892, 3191, 2089, 1654, 2945, 6038, 7086, 9462, 7164, 5166, 2376, 594, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 2100000, 162514, 3191, 2130, 1777, 3030, 7057, 7494, 11592, 7722, 6552, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 2400000, 238888, 3191, 2155, 1827, 3030, 7345, 7494, 12186, 7722, 6876, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 2700000, 423227, 3191, 2182, 1919, 3033, 7729, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 3000000, 321173, 3191, 2210, 1919, 3033, 7729, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 3300000, 243512, 3191, 2263, 1929, 3033, 7729, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 3600000, 293798, 3191, 2333, 1959, 3091, 7747, 7530, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1000, 3367, 3191, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 5000, 3405, 3191, 175, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 10000, 3428, 3191, 200, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 30000, 3676, 3191, 368, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 60000, 4293, 3191, 755, 102, 44, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 120000, 6498, 3191, 1083, 338, 221, 255, 81, 38, 28, 8, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 300000, 12915, 3191, 1473, 726, 744, 926, 678, 524, 270, 72, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 600000, 45610, 3191, 1606, 877, 1070, 1708, 1977, 2914, 2622, 2616, 1296, 396, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 900000, 128079, 3191, 1722, 1216, 2159, 5088, 5958, 10071, 6858, 6516, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1200000, 156800, 3191, 1844, 1529, 2694, 6709, 6882, 12150, 7398, 7200, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1500000, 175935, 3191, 2011, 1829, 3008, 7721, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1800000, 248639, 3191, 2089, 1900, 3038, 7729, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 2100000, 430050, 3191, 2130, 1915, 3038, 7729, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 2400000, 350379, 3191, 2155, 1919, 3043, 7731, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 2700000, 242903, 3191, 2182, 1919, 3043, 7731, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 3000000, 296562, 3191, 2210, 1919, 3043, 7731, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 3300000, 562923, 3191, 2263, 1974, 3127, 8451, 7737, 14535, 7884, 8118, 2592, 810, 0, 0, 0, 0, 0
