test,time,using_time_window,length,time_window
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 7, 494511
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 6, 494511
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 5, 494511
devices, 3600000, 0, 3, 145240
devices, 3600000, 0, 4, 3514634
devices, 3600000, 0, 4, 1210392
devices, 3600000, 0, 4, 863928
devices, 3600000, 0, 4, 573606
devices, 3600000, 0, 4, 403886
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 6, 494511
devices, 3600000, 0, 4, 227322
devices, 3600000, 0, 5, 346820
devices, 3600000, 0, 6, 3770272
devices, 3600000, 0, 6, 3770112
devices, 3600000, 0, 6, 3514634
devices, 3600000, 0, 6, 1210392
devices, 3600000, 0, 6, 863928
devices, 3600000, 0, 6, 573606
devices, 3600000, 0, 6, 403886
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 8, 494511
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 7, 494511
devices, 3600000, 0, 5, 248693
devices, 3600000, 0, 6, 3770272
devices, 3600000, 0, 6, 3770112
devices, 3600000, 0, 6, 3514634
devices, 3600000, 0, 6, 1210392
devices, 3600000, 0, 6, 863928
devices, 3600000, 0, 6, 573606
devices, 3600000, 0, 6, 403886
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 8, 494511
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 7, 494511
devices, 3600000, 0, 5, 227869
devices, 3600000, 0, 6, 3770272
devices, 3600000, 0, 6, 3770112
devices, 3600000, 0, 6, 3514634
devices, 3600000, 0, 6, 1210392
devices, 3600000, 0, 6, 863928
devices, 3600000, 0, 6, 573606
devices, 3600000, 0, 6, 403886
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 8, 494511
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 7, 494511
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 6, 494511
devices, 3600000, 0, 4, 172706
devices, 3600000, 0, 5, 346820
devices, 3600000, 0, 6, 3770272
devices, 3600000, 0, 6, 3770112
devices, 3600000, 0, 6, 3514634
devices, 3600000, 0, 6, 1210392
devices, 3600000, 0, 6, 863928
devices, 3600000, 0, 6, 573606
devices, 3600000, 0, 6, 403886
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 8, 494511
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 7, 494511
devices, 3600000, 0, 5, 248693
devices, 3600000, 0, 6, 3770272
devices, 3600000, 0, 6, 3770112
devices, 3600000, 0, 6, 3514634
devices, 3600000, 0, 6, 1210392
devices, 3600000, 0, 6, 863928
devices, 3600000, 0, 6, 573606
devices, 3600000, 0, 6, 403886
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 8, 494511
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 7, 494511
devices, 3600000, 0, 5, 227869
devices, 3600000, 0, 6, 3770272
devices, 3600000, 0, 6, 3770112
devices, 3600000, 0, 6, 3514634
devices, 3600000, 0, 6, 1210392
devices, 3600000, 0, 6, 863928
devices, 3600000, 0, 6, 573606
devices, 3600000, 0, 6, 403886
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 7, 419625
devices, 3600000, 0, 8, 494511
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 6, 420203
devices, 3600000, 0, 7, 494511
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 6, 494511
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 5, 494511
devices, 3600000, 0, 3, 80602
devices, 3600000, 0, 4, 3514634
devices, 3600000, 0, 4, 1210392
devices, 3600000, 0, 4, 863928
