Test, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16
datamining, 1, 1, 10, 15, 900000, 33850, 5233, 549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 1200000, 33637, 5233, 601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 1500000, 37462, 5233, 726, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 1800000, 36081, 5233, 799, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 2100000, 35207, 5233, 848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 2400000, 34365, 5233, 884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 2700000, 50505, 5233, 1095, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 3000000, 58135, 5233, 1257, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 3300000, 48126, 5233, 1501, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 3600000, 45249, 5233, 1509, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 1000, 24876, 5233, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 5000, 20094, 5233, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 10000, 18848, 5233, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 30000, 22549, 5233, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 60000, 23654, 5233, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 120000, 27444, 5233, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 300000, 35643, 5233, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 600000, 32197, 5233, 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 900000, 35401, 5233, 549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 1200000, 34402, 5233, 601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 1500000, 33726, 5233, 726, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 1800000, 35750, 5233, 799, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 2100000, 41876, 5233, 848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 2400000, 45487, 5233, 884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 2700000, 50466, 5233, 1095, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 3000000, 46850, 5233, 1257, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 3300000, 46853, 5233, 1501, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 0, 10, 15, 3600000, 46652, 5233, 1509, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 1000, 6494, 3191, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 5000, 4081, 3191, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 10000, 4160, 3191, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 30000, 4361, 3191, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 60000, 4860, 3191, 308, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 120000, 5848, 3191, 417, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 300000, 10820, 3191, 590, 109, 84, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 600000, 16966, 3191, 704, 221, 334, 375, 324, 198, 72, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 900000, 31170, 3191, 807, 351, 583, 642, 537, 333, 72, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 1200000, 72186, 3191, 916, 566, 1147, 1815, 1962, 1854, 1152, 486, 162, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 1500000, 143424, 3191, 1023, 752, 1592, 2871, 3108, 3474, 2088, 1188, 378, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 1800000, 213337, 3191, 1091, 910, 1954, 4152, 4356, 6012, 3420, 2538, 810, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 2100000, 261505, 3191, 1124, 1026, 2017, 5103, 4572, 7830, 3582, 3456, 810, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 2400000, 260179, 3191, 1148, 1059, 2017, 5391, 4572, 8424, 3582, 3780, 810, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 2700000, 313882, 3191, 1175, 1103, 2017, 5775, 4572, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 3000000, 298925, 3191, 1203, 1103, 2017, 5775, 4572, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 3300000, 276612, 3191, 1255, 1113, 2017, 5775, 4572, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 1, 1, 10, 15, 3600000, 223026, 3191, 1323, 1143, 2068, 5793, 4608, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 1000, 8092, 3191, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 5000, 6494, 3191, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 10000, 5613, 3191, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 30000, 6033, 3191, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 60000, 6666, 3191, 308, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 120000, 7079, 3191, 417, 49, 44, 51, 58, 20, 8, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 300000, 13936, 3191, 590, 160, 277, 370, 320, 222, 72, 0, 0, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 600000, 66690, 3191, 704, 276, 519, 965, 1216, 1860, 1332, 1428, 396, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 900000, 235352, 3191, 807, 579, 1405, 3628, 3741, 6951, 3222, 3672, 810, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 1200000, 319607, 3191, 916, 823, 1789, 4974, 4284, 8676, 3474, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 1500000, 279062, 3191, 1023, 1041, 2009, 5775, 4572, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 1800000, 316761, 3191, 1091, 1088, 2017, 5775, 4572, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 2100000, 299159, 3191, 1124, 1103, 2017, 5775, 4572, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 2400000, 304774, 3191, 1148, 1103, 2017, 5775, 4572, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 1, 0, 10, 15, 2700000, 241837, 3191, 1175, 1103, 2017, 5775, 4572, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
