test,time,using_time_window,nth,time_leap
devices, 3600000, 0, 5, 961699
devices, 3600000, 0, 5, 615235
devices, 3600000, 0, 5, 324913
devices, 3600000, 0, 5, 155193
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 7, 74886
devices, 3600000, 0, 5, 171510
devices, 3600000, 0, 5, 171510
devices, 3600000, 0, 6, 74308
devices, 3600000, 0, 4, 55163
devices, 3600000, 0, 5, 3542403
devices, 3600000, 0, 5, 3542243
devices, 3600000, 0, 5, 3286765
devices, 3600000, 0, 5, 982523
devices, 3600000, 0, 5, 636059
devices, 3600000, 0, 5, 345737
devices, 3600000, 0, 5, 176017
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 7, 74886
devices, 3600000, 0, 5, 192334
devices, 3600000, 0, 5, 192334
devices, 3600000, 0, 6, 74308
devices, 3600000, 0, 4, 246919
devices, 3600000, 0, 4, 246919
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 273760
devices, 3600000, 0, 3, 273760
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 89979
devices, 3600000, 0, 3, 3369394
devices, 3600000, 0, 3, 1065152
devices, 3600000, 0, 3, 718688
devices, 3600000, 0, 3, 428366
devices, 3600000, 0, 3, 258646
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 82082
devices, 3600000, 0, 4, 119498
devices, 3600000, 0, 5, 3423452
devices, 3600000, 0, 5, 3423292
devices, 3600000, 0, 5, 3167814
devices, 3600000, 0, 5, 863572
devices, 3600000, 0, 5, 517108
devices, 3600000, 0, 5, 226786
devices, 3600000, 0, 5, 57066
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 7, 74886
devices, 3600000, 0, 5, 73383
devices, 3600000, 0, 5, 73383
devices, 3600000, 0, 6, 74308
devices, 3600000, 0, 4, 21371
devices, 3600000, 0, 5, 3521579
devices, 3600000, 0, 5, 3521419
devices, 3600000, 0, 5, 3265941
devices, 3600000, 0, 5, 961699
devices, 3600000, 0, 5, 615235
devices, 3600000, 0, 5, 324913
devices, 3600000, 0, 5, 155193
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 7, 74886
devices, 3600000, 0, 5, 171510
devices, 3600000, 0, 5, 171510
devices, 3600000, 0, 6, 74308
devices, 3600000, 0, 4, 547
devices, 3600000, 0, 5, 3542403
devices, 3600000, 0, 5, 3542243
devices, 3600000, 0, 5, 3286765
devices, 3600000, 0, 5, 982523
devices, 3600000, 0, 5, 636059
devices, 3600000, 0, 5, 345737
devices, 3600000, 0, 5, 176017
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 7, 74886
devices, 3600000, 0, 5, 192334
devices, 3600000, 0, 5, 192334
devices, 3600000, 0, 6, 74308
devices, 3600000, 0, 4, 192303
devices, 3600000, 0, 4, 192303
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 27466
devices, 3600000, 0, 4, 174114
devices, 3600000, 0, 5, 3423452
devices, 3600000, 0, 5, 3423292
devices, 3600000, 0, 5, 3167814
devices, 3600000, 0, 5, 863572
devices, 3600000, 0, 5, 517108
devices, 3600000, 0, 5, 226786
devices, 3600000, 0, 5, 57066
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 7, 74886
devices, 3600000, 0, 5, 73383
devices, 3600000, 0, 5, 73383
devices, 3600000, 0, 6, 74308
devices, 3600000, 0, 4, 75987
devices, 3600000, 0, 5, 3521579
devices, 3600000, 0, 5, 3521419
devices, 3600000, 0, 5, 3265941
devices, 3600000, 0, 5, 961699
devices, 3600000, 0, 5, 615235
devices, 3600000, 0, 5, 324913
devices, 3600000, 0, 5, 155193
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 7, 74886
devices, 3600000, 0, 5, 171510
devices, 3600000, 0, 5, 171510
devices, 3600000, 0, 6, 74308
devices, 3600000, 0, 4, 55163
devices, 3600000, 0, 5, 3542403
devices, 3600000, 0, 5, 3542243
devices, 3600000, 0, 5, 3286765
devices, 3600000, 0, 5, 982523
devices, 3600000, 0, 5, 636059
devices, 3600000, 0, 5, 345737
devices, 3600000, 0, 5, 176017
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 6, 15739
devices, 3600000, 0, 7, 74886
devices, 3600000, 0, 5, 192334
devices, 3600000, 0, 5, 192334
devices, 3600000, 0, 6, 74308
devices, 3600000, 0, 4, 246919
devices, 3600000, 0, 4, 246919
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 274963
devices, 3600000, 0, 3, 274963
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 25341
devices, 3600000, 0, 3, 3434032
devices, 3600000, 0, 3, 1129790
devices, 3600000, 0, 3, 783326
devices, 3600000, 0, 3, 493004
devices, 3600000, 0, 3, 323284
devices, 3600000, 0, 4, 15739
