Test, Nodes, Edges, Algorithm, TimeWindow, PatternFamily, PatternGroup,123,213,133,313,233,323
itsecurity,8671,13652,3,120000,121312,6,385,12,30,673,0,225
itsecurity,8671,13652,3,300000,121312,6,1589,27,132,1449,0,618
itsecurity,8671,13652,3,600000,121312,6,3534,27,257,3852,0,1263
itsecurity,8671,13652,3,1200000,121312,6,11315,86,620,11756,0,3539
itsecurity,8671,13652,3,2400000,121312,6,34457,97,1195,32213,0,9177
itsecurity,8671,13652,3,3600000,121312,6,70836,108,1241,51873,0,18301
itsecurity,8671,13652,3,1000,121232,7,54,1,5,0,12,3
itsecurity,8671,13652,3,5000,121232,7,290,1,24,0,41,4
itsecurity,8671,13652,3,10000,121232,7,290,1,31,0,44,10
itsecurity,8671,13652,3,30000,121232,7,373,1,55,0,49,13
itsecurity,8671,13652,3,60000,121232,7,400,1,97,0,108,13
itsecurity,8671,13652,3,120000,121232,7,958,59,293,0,391,14
itsecurity,8671,13652,3,300000,121232,7,1939,145,923,0,1860,30
itsecurity,8671,13652,3,600000,121232,7,3696,147,1186,0,3075,46
itsecurity,8671,13652,3,1200000,121232,7,11558,296,2821,0,6755,97
itsecurity,8671,13652,3,2400000,121232,7,33397,296,7042,0,19499,109
itsecurity,8671,13652,3,3600000,121232,7,53371,298,11302,0,34684,109
itsecurity,8671,13652,3,1000,121322,8,764,0,22,5,2,1083
itsecurity,8671,13652,3,5000,121322,8,2864,3,43,20,3,3129
itsecurity,8671,13652,3,10000,121322,8,3398,3,50,34,8,3747
itsecurity,8671,13652,3,30000,121322,8,6712,5,100,83,12,6734
itsecurity,8671,13652,3,60000,121322,8,14146,5,133,116,12,11825
itsecurity,8671,13652,3,120000,121322,8,44568,14,300,216,23,35179
itsecurity,8671,13652,3,300000,121322,8,118542,18,834,569,31,100838
itsecurity,8671,13652,3,600000,121322,8,263844,19,1764,1129,30,243047
itsecurity,8671,13652,3,1200000,121322,8,650949,31,6690,5339,65,624446
itsecurity,8671,13652,3,2400000,121322,8,1461173,39,24547,20517,78,1442796
itsecurity,8671,13652,3,3600000,121322,8,2198675,58,39007,32833,130,2150058
devices,4976,6558,3,1000,121122,3,112,0,141,0,1,4
devices,4976,6558,3,5000,121122,3,112,0,142,0,2,5
devices,4976,6558,3,10000,121122,3,112,0,142,3,2,6
devices,4976,6558,3,30000,121122,3,149,1,268,75,111,2054
devices,4976,6558,3,60000,121122,3,261,2,442,284,437,6198
devices,4976,6558,3,120000,121122,3,544,21,1023,700,1186,16089
devices,4976,6558,3,300000,121122,3,1411,67,2342,1679,2985,43120
devices,4976,6558,3,600000,121122,3,1477,103,2478,1773,2991,44162
devices,4976,6558,3,1200000,121122,3,1664,363,2676,1963,3028,46060
devices,4976,6558,3,2400000,121122,3,1904,545,2893,2312,3457,46266
devices,4976,6558,3,3600000,121122,3,2091,622,3168,2707,3542,46683
devices,4976,6558,3,1000,121212,4,0,0,0,0,1,0
devices,4976,6558,3,5000,121212,4,0,0,0,0,1,0
devices,4976,6558,3,10000,121212,4,0,0,0,0,2,0
devices,4976,6558,3,30000,121212,4,1,1,0,1,1,2
devices,4976,6558,3,60000,121212,4,1,2,0,35,2,3
devices,4976,6558,3,120000,121212,4,17,10,5,159,2,35
devices,4976,6558,3,300000,121212,4,57,50,9,292,11,112
devices,4976,6558,3,600000,121212,4,96,116,12,324,14,148
devices,4976,6558,3,1200000,121212,4,263,338,14,430,10,273
devices,4976,6558,3,2400000,121212,4,518,526,25,560,23,446
devices,4976,6558,3,3600000,121212,4,564,560,25,583,19,480
devices,4976,6558,3,1000,121132,5,172,1,143,0,138,76
devices,4976,6558,3,5000,121132,5,174,2,143,0,165,117
devices,4976,6558,3,10000,121132,5,173,2,145,0,225,173
devices,4976,6558,3,30000,121132,5,379,2,262,0,394,330
devices,4976,6558,3,60000,121132,5,608,4,428,0,646,535
devices,4976,6558,3,120000,121132,5,1118,7,813,7,1097,984
devices,4976,6558,3,300000,121132,5,2209,11,1789,37,2015,1913
devices,4976,6558,3,600000,121132,5,2310,25,1918,79,2017,1942
devices,4976,6558,3,1200000,121132,5,2419,57,2120,139,2048,1949
devices,4976,6558,3,2400000,121132,5,2468,75,2350,233,2092,1949
devices,4976,6558,3,3600000,121132,5,2737,103,2629,233,2093,1964
devices,4976,6558,3,1000,121312,6,0,2,0,0,0,14
devices,4976,6558,3,5000,121312,6,8,2,0,0,0,34
devices,4976,6558,3,10000,121312,6,15,3,0,0,0,38
devices,4976,6558,3,30000,121312,6,206,31,0,49,0,169
devices,4976,6558,3,60000,121312,6,463,83,2,119,2,525
devices,4976,6558,3,120000,121312,6,682,345,11,274,5,632
devices,4976,6558,3,300000,121312,6,1532,781,52,774,16,1062
devices,4976,6558,3,600000,121312,6,1718,860,94,965,16,1058
devices,4976,6558,3,1200000,121312,6,1806,1081,155,904,16,1090
devices,4976,6558,3,2400000,121312,6,2241,1238,247,1009,16,1058
devices,4976,6558,3,3600000,121312,6,2636,1288,247,1087,16,1123
devices,4976,6558,3,1000,121232,7,1,0,4,0,5,6
devices,4976,6558,3,5000,121232,7,1,1,9,0,8,11
devices,4976,6558,3,10000,121232,7,4,0,12,0,25,33
devices,4976,6558,3,30000,121232,7,101,1,89,0,151,51
devices,4976,6558,3,60000,121232,7,273,4,281,3,435,104
devices,4976,6558,3,120000,121232,7,549,21,604,20,779,415
devices,4976,6558,3,300000,121232,7,1224,45,1141,40,1649,859
devices,4976,6558,3,600000,121232,7,1124,59,1143,40,1606,885
devices,4976,6558,3,1200000,121232,7,1266,97,1203,40,1958,1097
devices,4976,6558,3,2400000,121232,7,1314,109,1215,40,2344,1255
devices,4976,6558,3,3600000,121232,7,1329,144,1146,40,2655,1421
devices,4976,6558,3,1000,121322,8,3,1,14,26,6,39
devices,4976,6558,3,5000,121322,8,12,1,21,36,11,43
devices,4976,6558,3,10000,121322,8,43,2,16,41,34,71
devices,4976,6558,3,30000,121322,8,3707,32,121,180,52,2277
devices,4976,6558,3,60000,121322,8,8361,36,249,309,110,5643
devices,4976,6558,3,120000,121322,8,18185,380,556,529,419,13099
devices,4976,6558,3,300000,121322,8,41528,1106,1222,1325,1117,31730
devices,4976,6558,3,600000,121322,8,43683,1178,1287,1296,1120,32720
devices,4976,6558,3,1200000,121322,8,46353,1317,1249,1297,1335,34454
devices,4976,6558,3,2400000,121322,8,46696,1419,1308,1279,1611,34771
devices,4976,6558,3,3600000,121322,8,46933,1484,1292,1343,1707,35159
datamining,7453,10748,3,1000,121122,3,5,0,50,3,6,47
datamining,7453,10748,3,5000,121122,3,8,0,81,9,12,2397
datamining,7453,10748,3,10000,121122,3,20,0,126,29,20,5035
datamining,7453,10748,3,30000,121122,3,40,0,221,55,40,6482
datamining,7453,10748,3,60000,121122,3,176,0,719,156,124,10473
datamining,7453,10748,3,120000,121122,3,523,0,2123,296,269,22959
datamining,7453,10748,3,300000,121122,3,2153,0,8003,511,661,82415
datamining,7453,10748,3,600000,121122,3,3349,0,13730,800,906,113546
datamining,7453,10748,3,1200000,121122,3,6480,0,25881,1235,1129,192801
datamining,7453,10748,3,2400000,121122,3,15463,0,55510,1771,2089,340928
datamining,7453,10748,3,3600000,121122,3,33984,0,109552,3989,4107,788266
datamining,7453,10748,3,1000,121212,4,0,0,0,0,3,0
datamining,7453,10748,3,5000,121212,4,0,0,0,7,3,9
datamining,7453,10748,3,10000,121212,4,0,0,0,7,1,9
datamining,7453,10748,3,30000,121212,4,0,0,0,7,1,9
datamining,7453,10748,3,60000,121212,4,0,0,0,10,1,12
datamining,7453,10748,3,120000,121212,4,0,0,0,10,1,14
datamining,7453,10748,3,300000,121212,4,1,0,2,20,6,35
