Dataset,time
smartdevices, 10038
smartdevices, 6352
smartdevices, 1762
smartdevices, 22827
smartdevices, 16754
smartdevices, 226
smartdevices, 215
smartdevices, 19446
smartdevices, 8529
smartdevices, 10574
smartdevices, 10404
smartdevices, 12062
smartdevices, 29699
smartdevices, 197
smartdevices, 442
smartdevices, 1
smartdevices, 24
smartdevices, 10671
smartdevices, 861
smartdevices, 8637
smartdevices, 268
smartdevices, 9075
smartdevices, 2311
smartdevices, 99355
smartdevices, 6309
smartdevices, 16194
smartdevices, 36663
smartdevices, 173921
smartdevices, 25873
smartdevices, 26184
smartdevices, 10710
smartdevices, 213
smartdevices, 18
smartdevices, 69
smartdevices, 1327
smartdevices, 1868
smartdevices, 8460
smartdevices, 65
smartdevices, 13
smartdevices, 11657
smartdevices, 6489
smartdevices, 297
smartdevices, 17
smartdevices, 16683
smartdevices, 226
smartdevices, 1195
smartdevices, 66
smartdevices, 7380
smartdevices, 21048
smartdevices, 25
smartdevices, 595
smartdevices, 9167
smartdevices, 123
smartdevices, 271
smartdevices, 14304
smartdevices, 10868
smartdevices, 102
smartdevices, 18
smartdevices, 772
smartdevices, 53391
smartdevices, 238
smartdevices, 18
smartdevices, 172
smartdevices, 7
smartdevices, 52
smartdevices, 700
smartdevices, 4542
smartdevices, 3796
smartdevices, 88
smartdevices, 1634
smartdevices, 15
smartdevices, 12
smartdevices, 659
smartdevices, 65
smartdevices, 1
smartdevices, 63
smartdevices, 2348
smartdevices, 418
smartdevices, 9625
smartdevices, 3311
smartdevices, 867
smartdevices, 7664
smartdevices, 61
smartdevices, 43
smartdevices, 200
smartdevices, 1
smartdevices, 2574
smartdevices, 54
smartdevices, 20
smartdevices, 3855
smartdevices, 1849
smartdevices, 7145
smartdevices, 12432
smartdevices, 257
smartdevices, 235
smartdevices, 3465
smartdevices, 8590
smartdevices, 747
smartdevices, 240
smartdevices, 723
smartdevices, 182
smartdevices, 1863
smartdevices, 2947
smartdevices, 821
smartdevices, 2901
smartdevices, 15834
smartdevices, 16845
smartdevices, 21195
smartdevices, 85
smartdevices, 1
smartdevices, 214
smartdevices, 1
smartdevices, 273
smartdevices, 803
smartdevices, 6923
smartdevices, 9919
smartdevices, 141
smartdevices, 180
smartdevices, 11032
smartdevices, 1171
smartdevices, 1686
smartdevices, 143
smartdevices, 1192
smartdevices, 176
smartdevices, 263
smartdevices, 1969
smartdevices, 55145
smartdevices, 81
smartdevices, 55802
smartdevices, 17781
smartdevices, 13525
smartdevices, 73
smartdevices, 187
smartdevices, 308
smartdevices, 139
smartdevices, 1180
smartdevices, 150
smartdevices, 1484
smartdevices, 2479
smartdevices, 10550
smartdevices, 9810
smartdevices, 28665
smartdevices, 3954
smartdevices, 2177
smartdevices, 14172
smartdevices, 510
smartdevices, 699
smartdevices, 42543
smartdevices, 4095
smartdevices, 8901
smartdevices, 218
smartdevices, 299
smartdevices, 9545
smartdevices, 9603
smartdevices, 26212
smartdevices, 38042
smartdevices, 222
smartdevices, 751
smartdevices, 826
smartdevices, 51605
smartdevices, 4227
smartdevices, 6342
smartdevices, 26779
smartdevices, 28644
smartdevices, 68987
smartdevices, 2120
smartdevices, 9739
smartdevices, 2008
smartdevices, 10050
smartdevices, 11738
smartdevices, 17092
smartdevices, 22869
smartdevices, 88
smartdevices, 806
smartdevices, 12064
smartdevices, 64
smartdevices, 37146
smartdevices, 5300
smartdevices, 18
smartdevices, 75
smartdevices, 201
smartdevices, 46
smartdevices, 33
smartdevices, 4273
smartdevices, 16731
smartdevices, 292
smartdevices, 1013
smartdevices, 75172
smartdevices, 21614
smartdevices, 102
smartdevices, 131
smartdevices, 201
smartdevices, 71
smartdevices, 59
smartdevices, 1
smartdevices, 217
smartdevices, 116
smartdevices, 245
smartdevices, 343
smartdevices, 651
smartdevices, 526
smartdevices, 548
smartdevices, 2186
smartdevices, 7470
smartdevices, 3598
smartdevices, 6
smartdevices, 18140
smartdevices, 36153
smartdevices, 135
smartdevices, 164
smartdevices, 448
smartdevices, 2
smartdevices, 130
smartdevices, 12887
smartdevices, 100
smartdevices, 48
smartdevices, 71286
smartdevices, 1407
smartdevices, 21098
smartdevices, 3778
smartdevices, 1846
smartdevices, 4469
smartdevices, 8120
smartdevices, 2676
smartdevices, 532
smartdevices, 0
smartdevices, 1072
smartdevices, 77
smartdevices, 7177
smartdevices, 16
smartdevices, 7112
smartdevices, 3351
smartdevices, 271
smartdevices, 7818
smartdevices, 28915
smartdevices, 31666
smartdevices, 120
smartdevices, 11
smartdevices, 126
smartdevices, 9
smartdevices, 34
smartdevices, 31
smartdevices, 10
smartdevices, 108
smartdevices, 406
smartdevices, 32595
smartdevices, 8792
smartdevices, 351
smartdevices, 519
smartdevices, 4516
smartdevices, 14472
smartdevices, 310
smartdevices, 15
smartdevices, 3875
smartdevices, 153
smartdevices, 17546
smartdevices, 1109
smartdevices, 61591
smartdevices, 68969
smartdevices, 20
smartdevices, 10
smartdevices, 103467
smartdevices, 34
smartdevices, 3
smartdevices, 7244
smartdevices, 3985
smartdevices, 49062
smartdevices, 58
smartdevices, 28741
smartdevices, 7
smartdevices, 6
smartdevices, 118
smartdevices, 34
smartdevices, 96
smartdevices, 550
smartdevices, 21728
smartdevices, 579
smartdevices, 80313
smartdevices, 2471
smartdevices, 500
smartdevices, 9053
smartdevices, 74185
smartdevices, 35
smartdevices, 835
smartdevices, 4979
smartdevices, 8894
smartdevices, 107030
smartdevices, 7963
smartdevices, 18911
smartdevices, 3214
smartdevices, 4
smartdevices, 2532
smartdevices, 10655
smartdevices, 1716
smartdevices, 2409
smartdevices, 13319
smartdevices, 40370
smartdevices, 45
smartdevices, 184
smartdevices, 17349
smartdevices, 52
smartdevices, 71
smartdevices, 25
smartdevices, 29
smartdevices, 76
smartdevices, 31
